station,minute,compressed_row
4808,1038,252
4808,1039,252
4808,1040,252
4808,1041,253
4808,1042,253
4808,1043,253
4808,1044,253
4808,1045,253
4808,1046,253
4808,1047,254
4808,1048,254
4808,1049,255
4808,1050,255
4808,1051,255
4808,1052,255
4808,1053,255
4808,1054,255
4808,1055,255
4808,1056,255
4808,1057,255
4808,1058,255
4808,1059,255
4808,1060,255
4808,1061,255
4808,1062,255
4808,1063,255
4808,1064,256
4808,1065,256
4808,1066,256
4808,1067,257
4808,1068,257
4808,1069,257
4808,1070,257
4808,1071,257
4808,1072,257
4808,1073,257
4808,1074,257
4808,1075,258
4808,1076,258
4808,1077,258
4808,1078,258
4808,1079,259
4808,1080,260
4808,1081,260
4808,1082,260
4808,1083,260
4808,1084,260
4808,1085,260
4808,1086,260
4808,1087,261
4808,1088,261
4808,1089,261
4808,1090,261
4808,1091,261
4808,1092,261
4808,1093,261
4808,1094,261
4808,1095,261
4808,1096,261
4808,1097,261
4808,1098,261
4808,1099,261
4808,1100,261
4808,1101,261
4808,1102,261
4808,1103,261
4808,1104,261
4808,1105,261
4808,1106,262
4808,1107,262
4808,1108,262
4808,1109,262
4808,1110,262
4808,1111,262
4808,1112,262
4808,1113,262
4808,1114,262
4808,1115,262
4808,1116,262
4808,1117,262
4808,1118,262
4808,1119,262
4808,1120,263
4808,1121,263
4808,1122,264
4808,1123,264
4808,1124,265
4808,1125,265
4808,1126,265
4808,1127,265
4808,1128,266
4808,1129,266
4808,1130,266
4808,1131,266
4808,1132,266
4808,1133,266
4808,1134,266
4808,1135,266
4808,1136,267
4808,1137,267
4808,1138,267
4808,1139,267
4808,1140,267
4808,1141,267
4808,1142,267
4808,1143,267
4808,1144,267
4808,1145,267
4808,1146,267
4808,1147,267
4808,1148,267
4808,1149,267
4808,1150,267
4808,1151,267
4808,1152,267
4808,1153,267
4808,1154,267
4808,1155,267
4808,1156,267
4808,1157,267
4808,1158,267
4808,1159,267
4808,1160,267
4808,1161,267
4808,1162,267
4808,1163,267
4808,1164,267
4808,1165,267
4808,1166,267
4808,1167,267
4808,1168,267
4808,1169,267
4808,1170,267
4808,1171,267
4808,1172,267
4808,1173,267
4808,1174,267
4808,1175,267
4808,1176,267
4808,1177,267
4808,1178,267
4808,1179,267
4808,1180,267
4808,1181,267
4808,1182,267
4808,1183,267
4808,1184,267
4808,1185,267
4808,1186,267
4808,1187,267
4808,1188,267
4808,1189,267
4808,1190,267
4808,1191,267
4808,1192,267
4808,1193,267
4808,1194,267
4808,1195,267
4808,1196,267
4808,1197,267
4808,1198,267
4808,1199,267
4808,1200,267
4808,1201,267
4808,1202,267
4808,1203,267
4808,1204,267
4808,1205,267
4808,1206,267
4808,1207,267
4808,1208,267
4808,1209,267
4808,1210,267
4808,1211,267
4808,1212,267
