462796.batch|batch|COMPLETED|0:0|00:20:56|2026-09-25T12:44:21|2026-09-25T13:05:17||942988K|jingjie-cpu-15
462796.extern|extern|COMPLETED|0:0|00:20:56|2026-09-25T12:44:21|2026-09-25T13:05:17|||jingjie-cpu-15
462797|st_cl_r21_duck_spatial_2190L_x0p50|COMPLETED|0:0|00:04:23|2026-09-25T13:05:37|2026-09-25T13:10:00|16G||joachims-cpu-01
462797.batch|batch|COMPLETED|0:0|00:04:23|2026-09-25T13:05:37|2026-09-25T13:10:00||531808K|joachims-cpu-01
462797.extern|extern|COMPLETED|0:0|00:04:23|2026-09-25T13:05:37|2026-09-25T13:10:00|||joachims-cpu-01
462798|st_fx_r21_duck_spatial_2190L_x0p50|COMPLETED|0:0|00:03:33|2026-09-25T12:44:21|2026-09-25T12:47:54|16G||jingjie-cpu-15
462798.batch|batch|COMPLETED|0:0|00:03:33|2026-09-25T12:44:21|2026-09-25T12:47:54||620132K|jingjie-cpu-15
462798.extern|extern|COMPLETED|0:0|00:03:33|2026-09-25T12:44:21|2026-09-25T12:47:54|||jingjie-cpu-15
462799|st_cg_loc_flat|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|32G||jingjie-cpu-19
462799.batch|batch|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|||jingjie-cpu-19
462799.extern|extern|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|||jingjie-cpu-19
462802|st_cl_loc_flat|PENDING|0:0|00:00:00|Unknown|Unknown|24G||None assigned
462803|st_fx_loc_flat|COMPLETED|0:0|00:11:21|2026-09-25T12:44:21|2026-09-25T12:55:42|24G||jingjie-cpu-15
462803.batch|batch|COMPLETED|0:0|00:11:21|2026-09-25T12:44:21|2026-09-25T12:55:42||1154284K|jingjie-cpu-15
462803.extern|extern|COMPLETED|0:0|00:11:22|2026-09-25T12:44:21|2026-09-25T12:55:43|||jingjie-cpu-15
462804|st_cg_loc_spatial_PARX_x0p50|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|32G||jingjie-cpu-18
462804.batch|batch|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|||jingjie-cpu-18
462804.extern|extern|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|||jingjie-cpu-18
462805|st_cl_loc_spatial_PARX_x0p50|PENDING|0:0|00:00:00|Unknown|Unknown|24G||None assigned
462806|st_fx_loc_spatial_PARX_x0p50|COMPLETED|0:0|00:12:42|2026-09-25T12:44:21|2026-09-25T12:57:03|24G||jingjie-cpu-18
462806.batch|batch|COMPLETED|0:0|00:12:42|2026-09-25T12:44:21|2026-09-25T12:57:03||1434152K|jingjie-cpu-18
462806.extern|extern|COMPLETED|0:0|00:12:42|2026-09-25T12:44:21|2026-09-25T12:57:03|||jingjie-cpu-18
462807|st_cg_loc_spatial_3127L_x0p50|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|32G||jingjie-cpu-18
462807.batch|batch|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|||jingjie-cpu-18
462807.extern|extern|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|||jingjie-cpu-18
462808|st_cl_loc_spatial_3127L_x0p50|PENDING|0:0|00:00:00|Unknown|Unknown|24G||None assigned
462809|st_fx_loc_spatial_3127L_x0p50|COMPLETED|0:0|00:09:21|2026-09-25T12:44:21|2026-09-25T12:53:42|24G||jingjie-cpu-18
462809.batch|batch|COMPLETED|0:0|00:09:21|2026-09-25T12:44:21|2026-09-25T12:53:42||1145680K|jingjie-cpu-18
462809.extern|extern|COMPLETED|0:0|00:09:22|2026-09-25T12:44:21|2026-09-25T12:53:43|||jingjie-cpu-18
462810|st_cg_loc_spatial_7880C_x0p50|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|32G||jingjie-cpu-18
462810.batch|batch|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|||jingjie-cpu-18
462810.extern|extern|RUNNING|0:0|00:46:19|2026-09-25T12:44:21|Unknown|||jingjie-cpu-18
462811|st_cl_loc_spatial_7880C_x0p50|PENDING|0:0|00:00:00|Unknown|Unknown|24G||None assigned
462812|st_fx_loc_spatial_7880C_x0p50|COMPLETED|0:0|00:09:37|2026-09-25T12:44:21|2026-09-25T12:53:58|24G||jingjie-cpu-21
462812.batch|batch|COMPLETED|0:0|00:09:37|2026-09-25T12:44:21|2026-09-25T12:53:58||1238212K|jingjie-cpu-21
462812.extern|extern|COMPLETED|0:0|00:09:37|2026-09-25T12:44:21|2026-09-25T12:53:58|||jingjie-cpu-21
462813|st_cg_loc_spatial_JON_A_x0p50|COMPLETED|0:0|00:42:44|2026-09-25T12:44:21|2026-09-25T13:27:05|32G||jingjie-cpu-21
462813.batch|batch|COMPLETED|0:0|00:42:44|2026-09-25T12:44:21|2026-09-25T13:27:05||1964M|jingjie-cpu-21
462813.extern|extern|COMPLETED|0:0|00:42:44|2026-09-25T12:44:21|2026-09-25T13:27:05|||jingjie-cpu-21
462814|st_cl_loc_spatial_JON_A_x0p50|RUNNING|0:0|00:03:32|2026-09-25T13:27:08|Unknown|24G||unicorn-cpu-75
462814.batch|batch|RUNNING|0:0|00:03:32|2026-09-25T13:27:08|Unknown|||unicorn-cpu-75
462814.extern|extern|RUNNING|0:0|00:03:32|2026-09-25T13:27:08|Unknown|||unicorn-cpu-75
462815|st_fx_loc_spatial_JON_A_x0p50|COMPLETED|0:0|00:09:44|2026-09-25T12:44:21|2026-09-25T12:54:05|24G||jingjie-cpu-22
462815.batch|batch|COMPLETED|0:0|00:09:44|2026-09-25T12:44:21|2026-09-25T12:54:05||1191600K|jingjie-cpu-22
462815.extern|extern|COMPLETED|0:0|00:09:44|2026-09-25T12:44:21|2026-09-25T12:54:05|||jingjie-cpu-22
476611|st_fb_r21_spatial_4808_x0p75|COMPLETED|0:0|00:00:25|2026-09-25T13:19:38|2026-09-25T13:20:03|16G||unicorn-cpu-75
476611.batch|batch|COMPLETED|0:0|00:00:25|2026-09-25T13:19:38|2026-09-25T13:20:03||4428K|unicorn-cpu-75
